,target,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surfae_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_pring_color,population,habitat
0,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
1,0,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
2,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5
3,0,5,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
4,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
5,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
6,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
7,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
8,0,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
9,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
10,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
11,0,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
12,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
13,0,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1
14,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
15,0,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
16,1,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1
17,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,3,5
18,1,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
19,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
20,1,5,3,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
21,0,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
22,0,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
23,0,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
24,1,2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,1
25,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
26,0,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
27,0,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5
28,0,5,2,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
29,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
30,1,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,3,5
31,0,5,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
32,0,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
33,0,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
34,0,5,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
35,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
36,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,5
37,0,5,0,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
38,0,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
39,0,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
40,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
41,0,5,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
42,1,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
43,0,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
44,0,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
45,0,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
46,0,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
47,0,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
48,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4
49,0,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
50,0,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
51,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
52,1,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
53,1,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
54,0,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
55,0,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
56,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
57,0,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
58,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4
59,0,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
60,0,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
61,0,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
62,0,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
63,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
64,0,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
65,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
66,0,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
67,0,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
68,0,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
69,0,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
70,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
71,0,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
72,0,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
73,0,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
74,0,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
75,0,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
76,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
77,1,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
78,0,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
79,0,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1
80,1,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
81,0,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
82,0,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
83,0,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
84,0,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1
85,0,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
86,0,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
87,0,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
88,0,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
89,0,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
90,0,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
91,0,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
92,0,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
93,0,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
94,0,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
95,0,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
96,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
97,0,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
98,0,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
99,0,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
100,0,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
101,0,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
102,0,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
103,0,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
104,0,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
105,0,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
106,0,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
107,0,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
108,0,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
109,0,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
110,0,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
111,0,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
112,0,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
113,1,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
114,0,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
115,0,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
